,City,Country,Temperature (Celsius),Temperature (Fahrenheit),Weather Description,Wind Speed,Pressure,Humidity
0,Tokyo,JP,8.680000000000007,539.294,Clear,2.06,1027,59
1,Delhi,IN,15.050000000000011,550.76,Mist,2.06,1015,82
2,Shanghai,CN,9.629999999999995,541.0039999999999,Mist,1.0,1023,96
3,Ṣo Paulo,BR,27.060000000000002,572.3779999999999,Clear,3.6,1018,54
4,Mumbai,IN,27.99000000000001,574.052,Smoke,4.12,1012,44
5,Mexico City,MX,10.730000000000018,542.9839999999999,Clouds,0.0,1027,46
6,Beijing,CN,-4.060000000000002,516.362,Clear,1.22,1025,62
7,Osaka,JP,6.680000000000007,535.694,Clear,2.06,1028,54
8,Cairo,EG,16.420000000000016,553.226,Clouds,7.72,1020,39
9,New York,US,1.4300000000000068,526.2439999999999,Clouds,3.6,1024,67
10,Dhaka,BD,21.99000000000001,563.252,Haze,1.54,1015,60
11,Karachi,PK,25.900000000000034,570.2900000000001,Haze,7.2,1013,50
12,Chongqing,CN,9.270000000000039,540.356,Clouds,1.34,985,79
13,Istanbul,TR,6.730000000000018,535.784,Clouds,11.83,1030,57
14,Kolkata,IN,23.970000000000027,566.816,Haze,4.12,1014,69
15,Lahore,PK,18.99000000000001,557.852,Smoke,2.57,1015,48
16,Manila,PH,26.04000000000002,570.542,Clear,3.42,1018,77
17,Lima,PE,24.939999999999998,568.562,Clouds,4.12,984,81
18,Tehran,IR,8.850000000000023,539.6,Clouds,2.06,1022,31
19,Bangkok,TH,28.210000000000036,574.4480000000001,Clouds,4.1,1013,75
20,Kinshasa,CD,31.180000000000007,579.794,Clouds,4.12,1012,55
21,Bogota,CO,7.730000000000018,537.5840000000001,Fog,3.09,1028,100
22,London,GB,8.270000000000039,538.556,Clouds,6.69,1028,78
23,Lagos,NG,33.18000000000001,583.394,Clouds,2.76,1009,28
24,Lima,PE,24.939999999999998,568.562,Clouds,4.12,984,81
25,Bengaluru,IN,27.340000000000032,572.8820000000001,Clouds,1.54,1017,38
26,Bangkok,TH,28.210000000000036,574.4480000000001,Clouds,4.1,1013,75
27,Chennai,IN,26.99000000000001,572.252,Clouds,5.14,1013,69
28,Hyderabad,IN,27.230000000000018,572.684,Haze,6.17,1016,34
29,Paris,FR,11.370000000000005,544.136,Clouds,4.63,1031,84
